Id,Word
1,18년
2,18놈
3,18뇬
4,18시키
5,Anal
6,bogy
7,boji
8,bojy
9,bozi
10,bozy
11,bo지
12,c8
13,cebal
14,cibal
15,cipal
16,cival
17,ci발
18,ci부랄
19,c발
20,c방
21,c벌
22,c부랄
23,c불
24,c팔
25,dog새끼
26,fuck
